"Choice";"Acronimo"
"Concursables y Competitivos";"CON"
"Público Local (Municipal)";"LOC"
"Público Regional";"REG"
"Público Nacional";"NAC"
"Privado (Empresas)";"PRI"
"Privado (Ciudadanos y donaciones)";"CIU"
"Otros";"OTR"
