"Choice";"Acronimo"
"Buenas Prácticas y Gestión";"BP"
"Financiamiento e Instrumentos Económicos";"F"
"Fortalecimiento de Capacidades";"FC"
"Infraestructura y Obras Físicas";"IO"
"Innovación y Transferencia Tecnológica";"IT"
"Políticas, Planificación y Gobernanza";"PP"
"Sistemas de Alerta y Monitoreo Multipropósito";"SAM"
"Soluciones Basadas en la Naturaleza";"SbN"
"Otros";"OTR"
