"Choice";"Acronimo"
"Ambientales y Climáticas";"AMB"
"Administrativas e Institucionales";"ADM"
"Económicas y Financieras";"ECO"
"Legales y Normativas";"LEG"
"Socioculturales y Conductuales";"SOC"
"Técnicas y de Infraestructura";"TEC"
"Otros";"OTR"
"Políticas y de Grupos de Interés";"POL"
